Index,Title,Price,Ratings,NumberOfReviews,ASIN,URL,Manufacturer,Description
11,"STRABO Defender Laptop Bag, Light weight & Water resistant - Color Olive 35L, Unisex Bag",₹999,4.5,25,B0C9H8W6K6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgwMzEyODkzMTE0NjU4OjE2OTc4OTA5MzM6c3BfbXRmOjMwMDAxNDkzMTQ4NDczMjo6MDo6&url=%2FSTRABO-Defender-Laptop-weight-resistant%2Fdp%2FB0C9H8W6K6%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697890933%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,STRABO BAGS AND ACCESSORIES LLP,Curated specially for Bag with High Functionality. Premium Design crafted with Trendy Look
12,"Golden Wolf Backpack with Rain Cover Anti-theft Backpack with Lock 15.6-inch Laptop Bag Multi-pockets with USB Port for Business Travel College,Dark Grey","₹1,999",4.3,"3,626",B08HM4TQZZ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgwMzEyODkzMTE0NjU4OjE2OTc4OTA5MzM6c3BfbXRmOjIwMDY4MTk0MzMzMjAzOjowOjo&url=%2FHoteon-Backpack-Anti-Theft-Earphone-Resistant%2Fdp%2FB08HM4TQZZ%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697890933%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,ah arctic hunter,"Previous pageHigh quality Anti-theft locks can better protect your items.Fashion metal logo,improve overall appearance quality.High quality fabric makes the backpack very water-resistant and wear-resistant.The card pocket and glasses strap make it easy for you to access items at any time.USB port and Headphone Jack offers quick access to charge your USB devices and listen to music.Next page1Anti-theft Design2Fashion Logo3High-Quality Fabric4Shoulder Strap5USB Charging PortPrevious pageit built in a 15.6-inch compartment.Next page1Multi-Level Organizer2Main pocket3Front Pocket4Document pocketArctic Hunter Laptop&Travel BackpackGB00375 BackpackAH-B00113C BackpackAH-B00345 BackpackGW-GB00397 BackpackAH-B00451 BackpackAH-B00208 BackpackAH-B00492 BackpackProduct Dimensions46cm*29cm*12cm47cm*35cm*17cm43cm*30cm*15cm46cm*31cm*18cm45cm*27cm*15cm48cm*32cm*16cm45cm*28cm*17.5cmStorage Capacity25L28L32L38L20L25L30LWeight810g920g1450g1110g860g1100g1500gMaterialPolyesterPolyesterPolyesterPolyesterPolyester, EVAPolyester, PVC FilmPolyesterLaptop Size15.6 inch15.6 inch15.6 inch15.6 inch15.6 inch15.6 inch15.6 inchProduct FeaturesRain Cover, Locking, USB PortLaptop Compartment, USB PortWater-resistant, ExpandableLocking, Expandable,USB PortLocking, Water-resistantLocking, Laptop CompartmentLaptop Tablet CompartmentProduct FeaturesLaptop Pocket, Bottle HolderBollet Holder, Sunglass HolderLaptop Compartment,ConvertibleConverible, Water-resistantRemovable pouch,Trolley StrapTablet Compartment,Water-resistant, Trolley StrapProduct FeaturesTrolley Strap,Sunglass Holderrolley Sleeve,Cellphone HolderTablet Compartment, USB PortUSB Port，Sunglass HolderLaptop Tablet Pocket, USB PortUSB Port,Scratch-resistantScratch-resistant"
13,M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),₹399,3.5,"26,292",B07MWD4D4W,https://www.amazon.in/MEDLER-Nylon-Expandable-Duffel-Trolley/dp/B07MWD4D4W/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-13,BREGGABOG INDIA PRIVATE LIMITED,"Stylish & Easy To CarryMedler's Duffle bag is strong from inside with a fashionable outside! Made of nylon and the strolley pattern makes this bag stylish and easy to carryDurable Corner GuardsThe corner guards of the bags support from falling or slipping. It helps in holding your belongings sturdily and avoids any damage to the bag while traveling.Strong WheelsAlong with the pull strings of the bag, below are the trolley wheels attached to drag your bag while traveling by any means of transport. Medler's duffle bag is designed to be sturdy and has long durability with being water-resistant. It is convenient to carry at places like picnics, gym, hiking, etc. and contains reliable zippers.Water Proof BodyThis is an ideal bag for those who are travel buffs and like to go rustic with their journey. Along with its stylish look, it is also waterproof which reduces every traveler's worry.Adding Moments Of StyleA trendy collection introduced by Medler Bags which has 3 in 1 quality. It is Stylish, Spacious, and Sturdy. Your one and only companion for a great traveling experience!"
14,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹689,3.9,"3,864",B0BJ32LQ6X,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-14,Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
15,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,098",4.0,"56,405",B07CJCGM1M,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-15,‎Samsonite,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No"
16,Skybags Cardiff Polyester 55 Cms Travel Duffle Bag (Blue),"₹1,099",4.2,"9,968",B073JYDK7P,https://www.amazon.in/Skybags-Cardiff-Polyester-Travel-DFCAR55BLU/dp/B073JYDK7P/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-16,VIP Industries Ltd,Skybags Cardiff Polyester 55 cms Blue Travel Duffle (DFCAR55BLU)
17,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",₹289,4.4,"35,973",B0821PN8L4,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-17,‎Narendar Plastics Pvt.Ltd,"Ready to useThese convenient garbage bags do not need any tearing and hence are ready to use. They come handy in various urgent situations such as cleaning a messy office or restaurant.Convenient Garbage bagsThese garbage bags make cleaning and garbage disposal a hassle-free task while being easy on the environment. They come in black color and a range of small, medium and large sizes for your convenience.Multifunctional garbage bagsIdeal for use in homes, offices and hotels, these bags come handy in various situations. They can be effectively used for kitchen clean-up and even getting rid of leaky baby diapers and pet litter."
18,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",₹699,4.0,169,B097JH4V5G,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-18,Safari,"Safari Omega is a multi-purpose 2 compartment spacious laptop backpack suitable for office, travel, school. It comes with 2 front pockets and an organizer. The compression straps make your travelling comfortable by restricting the movement of items inside the backpack. It also comes with a rain cover ensuring protection throughout the year. Reflective strips will provide assistance during night travel. All in all it's a fully packed product that caters to all your daily travel needs."
19,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹639,4.1,"6,740",B09VTCNN75,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-19,FUR JADEN,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
20,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹365,4.3,"8,431",B07XXFB9CZ,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-20,Sfane,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India."
